	MCTs01	MCTs03	MCTs04	MCTs06	MCTs07	MCTs08	MCTs09	MCTs10	MCTs13	MCTs14	MCTs15	MCTs16	MCTs18	MCTs19	MCTs20	MCTs21	MCTs22	MCTs23	MCTs24	MCTs25	MCTs26	MCTs27	MCTs28	MCTs29	MCTs31	MCTs32	MCTs33	MCTs34	MCTs35	MCTs36	MCTs37
MCTs26	5.71794871795	4.45098039216	5.25757575758	5.24666666667	6.04504504505	5.83333333333	5.41666666667	6.47311827957	5.66666666667	6.5	6.3201754386	7.11111111111	4.85606060606	5.30081300813	6.02956989247	5.75	5.41666666667	5.16666666667	5.45833333333	5.73245614035	0.0	5.33095238095	5.66666666667	5.98387096774	5.04166666667	5.61764705882	5.03571428571	5.91091954023	6.08333333333	5.01436781609	6.84848484848
MCTs27	5.30695970696	5.18879551821	4.94372294372	6.05714285714	5.1444015444	5.6619047619	5.32142857143	5.83594470046	4.98571428571	5.80952380952	6.99248120301	7.16825396825	5.24502164502	4.87386759582	5.66267281106	5.52142857143	4.83333333333	4.52142857143	5.525	5.05413533835	5.33095238095	0.0	7.28095238095	5.90230414747	6.15714285714	4.99495798319	4.54285714286	5.53300492611	6.9	4.7802955665	6.60606060606
MCTs28	7.01923076923	5.96568627451	6.43181818182	5.61666666667	7.24099099099	6.83333333333	6.79166666667	6.31720430108	7.29166666667	7.2	6.95614035088	6.77777777778	6.08333333333	6.00406504065	7.12096774194	6.58333333333	7.0	6.95	6.16666666667	7.23245614035	5.66666666667	7.28095238095	0.0	7.20430107527	5.79166666667	7.08333333333	6.72619047619	7.06034482759	6.83333333333	6.25574712644	7.09090909091
MCTs29	6.5459057072	6.2770398482	5.89833822092	6.54709677419	6.89276373147	6.96774193548	5.4939516129	6.70967741935	5.62903225806	5.87956989247	6.62648556876	7.53405017921	5.82600195503	6.18095987411	6.51612903226	5.7688172043	5.2311827957	6.42258064516	6.20161290323	6.25806451613	5.98387096774	5.90230414747	7.20430107527	0.0	7.06451612903	5.62239089184	5.70814132104	6.01557285873	5.81720430108	6.31145717464	6.96383186706
MCTs31	6.78846153846	5.69362745098	6.10227272727	6.2	6.55743243243	6.29166666667	6.375	6.5685483871	6.875	7.40833333333	7.32894736842	7.65277777778	6.36742424242	5.86890243902	6.56451612903	6.5	6.59722222222	6.375	6.25	6.84210526316	5.04166666667	6.15714285714	5.79166666667	7.06451612903	0.0	6.88970588235	6.09523809524	6.65948275862	6.83333333333	5.81896551724	6.94318181818
MCTs32	5.10859728507	5.76470588235	5.00534759358	6.28	5.97456279809	6.14215686275	5.15441176471	5.82163187856	5.35784313725	6.19215686275	7.00309597523	7.56862745098	5.03386809269	5.28407460545	5.67362428843	6.17647058824	4.75816993464	4.99705882353	5.88970588235	5.23219814241	5.61764705882	4.99495798319	7.08333333333	5.62239089184	6.88970588235	0.0	5.19327731092	6.04056795132	6.47549019608	5.0831643002	6.67023172906
MCTs33	5.71794871795	5.23529411765	4.49350649351	5.91047619048	5.0102960103	6.11904761905	5.12202380952	5.38402457757	4.50595238095	5.49523809524	5.79949874687	7.33333333333	5.01731601732	5.33797909408	5.10599078341	5.11904761905	4.79365079365	5.02619047619	5.07738095238	5.01002506266	5.03571428571	4.54285714286	6.72619047619	5.70814132104	6.09523809524	5.19327731092	0.0	4.46633825944	5.55952380952	5.51888341544	6.22943722944
MCTs34	6.72502210433	6.14739688979	6.00835945664	7.47586206897	5.87325256291	6.63793103448	5.22413793103	6.45828698554	6.14511494253	6.71494252874	6.02722323049	7.24904214559	6.42424242424	6.19512195122	5.8042269188	5.78448275862	5.89846743295	6.51206896552	5.67456896552	6.75317604356	5.91091954023	5.53300492611	7.06034482759	6.01557285873	6.65948275862	6.04056795132	4.46633825944	0.0	6.95977011494	6.62068965517	7.19122257053
MCTs35	6.82051282051	6.79411764706	6.11363636364	5.87	6.75900900901	7.58333333333	6.6875	6.40053763441	6.20833333333	6.75	7.25438596491	8.13888888889	5.78787878788	6.65243902439	7.15053763441	6.41666666667	6.58333333333	7.28333333333	6.54166666667	5.87280701754	6.08333333333	6.9	6.83333333333	5.81720430108	6.83333333333	6.47549019608	5.55952380952	6.95977011494	0.0	6.72126436782	5.87878787879
MCTs36	5.66401414677	4.78701825558	4.87147335423	5.55862068966	6.15657036347	6.16666666667	6.12068965517	6.00444938821	5.37643678161	6.13563218391	7.23230490018	6.7662835249	4.73354231975	4.80403700589	5.20800889878	6.1091954023	5.86973180077	5.30862068966	6.2349137931	5.50635208711	5.01436781609	4.7802955665	6.25574712644	6.31145717464	5.81896551724	5.0831643002	5.51888341544	6.62068965517	6.72126436782	0.0	6.51619644723
MCTs37	6.18181818182	6.34937611408	6.36363636364	6.24484848485	5.44471744472	5.91666666667	7.30492424242	5.13587487781	5.54166666667	5.10909090909	6.44816586922	7.25252525253	6.24242424242	5.78861788618	5.55425219941	5.72727272727	6.30303030303	7.08484848485	6.33143939394	5.87400318979	6.84848484848	6.60606060606	7.09090909091	6.96383186706	6.94318181818	6.67023172906	6.22943722944	7.19122257053	5.87878787879	6.51619644723	0.0
