	PD_whole_tree	shannon	chao1	simpson	observed_otus
MCT.f.0583	47.0	2.7817086524	8.0	0.83890990463	8.0
MCT.f.0584	63.0	3.07386238171	12.5	0.866986360056	12.0
MCT.f.0585	49.0	2.74053641185	9.0	0.826962142198	9.0
MCT.f.0154	66.0	3.03596781722	13.0	0.861303007759	13.0
MCT.f.0155	86.0	3.54002470786	18.0	0.892002770526	18.0
MCT.f.0156	83.0	3.14173974211	16.0	0.849365950293	16.0
MCT.f.0158	60.0	2.92256934592	12.0	0.828710231576	12.0
MCT.f.0160	54.0	2.82002378621	10.0	0.818725235223	10.0
MCT.f.0240	63.0	3.13546190982	13.5	0.871368700541	13.0
MCT.f.0241	65.0	3.36491796716	14.0	0.877150752115	14.0
MCT.f.0242	65.0	3.32061996342	14.0	0.870371820642	14.0
MCT.f.0324	89.0	3.55198278084	17.5	0.894120597199	17.0
MCT.f.0358	82.0	3.62328273086	16.0	0.899880953059	16.0
MCT.f.0360	89.0	3.77362146538	17.0	0.91606000384	17.0
MCT.f.0361	94.0	3.66856512122	19.5	0.897619452061	19.0
MCT.f.0363	62.0	3.12204726339	12.0	0.869152831955	12.0
MCT.f.0417	49.0	2.41284644621	10.0	0.713400982358	10.0
MCT.f.0443	95.0	3.72677849616	19.0	0.907233930756	19.0
MCT.f.0444	131.0	4.09726716924	40.0	0.921782704851	30.0
MCT.f.0445	76.0	2.41792844583	21.0	0.69051883083	15.0
MCT.f.0446	107.0	3.60589287694	24.0	0.872298370577	24.0
MCT.f.0447	129.0	3.94439417598	27.25	0.913731622204	27.0
MCT.f.0448	105.0	3.84327491959	22.0	0.913870375457	22.0
MCT.f.0616	55.0	2.2075938353	10.0	0.704507412272	10.0
MCT.f.0617	78.0	3.12533615991	18.0	0.867382115156	15.0
MCT.f.0069	44.0	2.57303754398	8.0	0.809336540751	8.0
MCT.f.0239	57.0	3.13869307201	12.0	0.865460356405	12.0
MCT.f.0245	79.0	3.36929031119	16.0	0.878022704155	16.0
MCT.f.0460	97.0	3.6040691175	19.0	0.882198585822	19.0
MCT.f.0461	66.0	3.31252938101	13.0	0.874341510723	13.0
MCT.f.0463	52.0	2.89694729122	9.0	0.844203954214	9.0
MCT.f.0465	35.0	2.33040985109	6.0	0.782438901487	6.0
MCT.f.0533	50.0	2.93574974051	9.0	0.848460827058	9.0
MCT.f.0534	96.0	3.49179447836	18.5	0.894194566389	18.0
MCT.f.0001	97.0	3.80823631949	18.0	0.918374881853	18.0
MCT.f.0002	105.0	3.86550920948	21.5	0.917845846956	21.0
MCT.f.0003	108.0	3.81914178815	23.0	0.914975023913	22.0
MCT.f.0004	124.0	4.24603013487	31.0	0.935689090451	29.0
MCT.f.0005	134.0	4.02308958377	29.0	0.922409490536	27.0
MCT.f.0007	118.0	3.9593734	28.5	0.919587551796	27.0
MCT.f.0205	93.0	3.50873903498	20.5	0.888745994265	20.0
MCT.f.0207	78.0	3.07014811027	15.3333333333	0.852043036272	15.0
MCT.f.0208	56.0	3.15745440012	11.0	0.875796931322	11.0
MCT.f.0211	83.0	3.50760273852	16.0	0.899482231247	16.0
MCT.f.0256	106.0	3.96285860959	21.3333333333	0.925366181875	21.0
MCT.f.0257	81.0	3.30449522544	16.0	0.85854058831	16.0
MCT.f.0258	92.0	3.85623269091	18.0	0.923814130941	18.0
MCT.f.0259	91.0	3.43493401262	18.0	0.858269896194	18.0
MCT.f.0261	92.0	3.73198309164	19.0	0.909567474048	19.0
MCT.f.0614	82.0	3.53519831213	18.0	0.892382803462	17.0
