	PD_whole_tree	shannon	chao1	simpson	observed_otus
MCT.f.0093	39.0	2.62938821985	7.0	0.820451843044	7.0
MCT.f.0094	20.0	1.4594911602	4.0	0.55325443787	4.0
MCT.f.0098	33.0	2.41287868934	6.0	0.7904	6.0
MCT.f.0137	23.0	1.48322619697	4.0	0.548476454294	4.0
MCT.f.0145	29.0	2.25162916739	8.0	0.777777777778	5.0
MCT.f.0367	23.0	1.71429775095	4.0	0.659279778393	4.0
MCT.f.0232	28.0	2.52192809489	6.2	0.82	6.0
MCT.f.0343	18.0	1.44881563573	3.0	0.612244897959	3.0
MCT.f.0348	17.0	1.05294076056	3.0	0.425925925926	3.0
MCT.f.0351	62.0	3.35005107516	80.0	0.855371900826	14.0
MCT.f.0356	27.0	2.05881389033	6.5	0.716049382716	5.0
MCT.f.0357	20.0	1.78992907531	4.0	0.677685950413	4.0
MCT.f.0597	23.0	1.83392721764	4.0	0.686390532544	4.0
MCT.f.0541	27.0	2.04643934467	8.0	0.72	5.0
MCT.f.0113	63.0	3.21851125507	13.1666666667	0.855034722222	13.0
MCT.f.0119	59.0	3.44774267858	15.5	0.893333333333	13.0
MCT.f.0325	35.0	2.08132205902	7.0	0.690082644628	6.0
MCT.f.0326	27.0	2.22957395851	5.0	0.777777777778	5.0
MCT.f.0327	28.0	2.01997309402	5.0	0.71	5.0
MCT.f.0328	43.0	3.05747607629	9.6	0.871972318339	9.0
MCT.f.0329	23.0	1.55109817101	5.0	0.583333333333	4.0
MCT.f.0333	35.0	2.39326968952	6.0	0.7872	6.0
MCT.f.0334	32.0	2.32192809489	9.0	0.76	6.0
MCT.f.0337	23.0	1.86763389097	4.0	0.710743801653	4.0
MCT.f.0338	43.0	2.79248125036	23.0	0.833333333333	8.0
MCT.f.0339	27.0	2.11807820935	5.5	0.743801652893	5.0
MCT.f.0395	34.0	2.68354236243	7.0	0.833333333333	7.0
MCT.f.0511	28.0	2.07416474302	5.0	0.724489795918	5.0
MCT.f.0513	72.0	3.26831041185	22.0	0.854166666667	15.0
MCT.f.0514	35.0	2.6812763696	7.0	0.834710743802	7.0
MCT.f.0516	32.0	2.64160416787	7.5	0.827160493827	7.0
MCT.f.0517	55.0	3.26278342898	11.3333333333	0.884083044983	11.0
MCT.f.0518	37.0	2.36386512195	8.0	0.76	7.0
MCT.f.0519	45.0	2.6776942711	9.5	0.819444444444	8.0
MCT.f.0521	47.0	3.12192809489	23.0	0.88	9.0
MCT.f.0522	45.0	2.94503869754	11.0	0.853185595568	9.0
MCT.f.0525	29.0	2.13393756609	5.0	0.745562130178	5.0
MCT.f.0526	31.0	2.41160221797	6.33333333333	0.792899408284	6.0
MCT.f.0527	52.0	3.07781953111	20.5	0.859375	10.0
MCT.f.0545	18.0	1.45914791703	3.0	0.611111111111	3.0
MCT.f.0549	32.0	2.19715972342	6.5	0.728395061728	6.0
MCT.f.0555	23.0	1.68948226702	4.0	0.648888888889	4.0
MCT.f.0565	22.0	1.92192809489	5.5	0.72	4.0
MCT.f.0567	17.0	1.49491884823	3.0	0.628099173554	3.0
MCT.f.0568	37.0	2.49560292373	10.0	0.785714285714	7.0
MCT.f.0570	29.0	2.07059344381	6.5	0.695652173913	6.0
MCT.f.0577	22.0	1.84643934467	4.0	0.7	4.0
MCT.f.0578	12.0	0.811278124459	2.0	0.375	2.0
MCT.f.0599	6.0	-0.0	1.0	0.0	1.0
MCT.f.0600	33.0	2.12994718448	9.0	0.730158730159	6.0
MCT.f.0601	6.0	-0.0	1.0	0.0	1.0
MCT.f.0603	12.0	0.918295834054	2.0	0.444444444444	2.0
MCT.f.0612	31.0	2.41829583405	6.25	0.791666666667	6.0
MCT.f.0055	72.0	3.69227968204	17.5	0.911550468262	15.0
MCT.f.0066	69.0	3.59115693488	16.0	0.897959183673	15.0
MCT.f.0596	11.0	1.0	3.0	0.5	2.0
MCT.f.0052	33.0	2.32850215871	7.0	0.76801332778	7.0
MCT.f.0057	42.0	2.75343438619	13.0	0.826530612245	8.0
MCT.f.0608	6.0	-0.0	1.0	0.0	1.0
MCT.f.0611	25.0	2.18872187554	5.0	0.763888888889	5.0
MCT.f.0063	36.0	2.60230379549	8.0	0.822916666667	7.0
MCT.f.0061	38.0	2.71077708442	7.0	0.83950617284	7.0
MCT.f.0059	31.0	2.35538854221	7.5	0.777777777778	6.0
MCT.f.0322	32.0	2.33603881526	10.0	0.75	7.0
MCT.f.0323	32.0	2.5	8.0	0.8125	6.0
MCT.f.0383	33.0	1.34777506062	6.0	0.415802469136	6.0
MCT.f.0075	23.0	1.84643934467	4.0	0.7	4.0
